Q9FFN1	AT5G03800
Q9ZUF6	AT2G05920
O65351	AT5G67360
Q84WS0	AT1G01900
O64495	AT1G04110
Q9FHA4	AT5G67090
F4KGD4	AT5G58820
F4JA91	AT3G46840
Q9LLL8	AT4G00230
Q9LZS6	AT5G03620
Q9SZY2	AT4G10510
Q9C7U8	AT1G66220
Q8GWX9	AT1G66210
Q1PDX5	AT5G11940
Q8GUK4	AT4G21650
F4HSQ2	AT1G20150
Q9FK76	AT5G45650
P28186	AT3G46060
O24466	AT3G53610
Q9FJF1	AT5G59840
Q9SF91	AT3G09900
Q9LZD4	AT5G03520
O49841	AT5G03530
Q9SF92	AT3G09910
O23657	AT1G43890
Q9ZRE2	AT3G11730
Q9FPJ4	AT5G47200
P92963	AT4G17170
Q38922	AT4G35860
Q9FGK5	AT5G47520
P28187	AT2G43130
Q9FE79	AT5G47960
Q9SMQ6	AT4G39990
Q9LNK1	AT1G01200
Q0WQN4	AT1G18200
O04486	AT1G09630
Q9FIF9	AT5G59150
O49513	AT4G18430
Q9S810	AT1G28550
Q9LK99	AT3G15060
Q9SN35	AT4G18800
Q39222	AT1G16920
P28185	AT1G06400
Q9SMR4	AT4G39890
O80501	AT2G44610
Q9SID8	AT2G22290
Q9LFT9	AT5G10260
Q9LV79	AT5G64990
Q9SN68	AT4G19640
P31582	AT5G45130
Q9CB01	AT3G54840
O49289	AT1G77030
Q9ZRZ8	AT4G16630
Q8GY84	AT5G60990
Q9SA27	AT1G16280
Q84W89	AT2G42520
Q8LA13	AT3G58510
Q9M2F9	AT3G58570
Q8W4R3	AT5G63120
Q9C718	AT1G55150
O22907	AT2G47330
Q9SF41	AT3G09620
Q8H0U8	AT1G20920
Q9C551	AT1G31970
Q8H136	AT3G01540
Q9LYJ9	AT5G14610
Q9SQV1	AT3G06480
Q9SW44	AT4G34910
Q93Y39	AT3G16840
Q9FLB0	AT5G05450
O80792	AT2G07750
Q9FNM7	AT5G08610
Q9FFQ1	AT5G63630
Q56X76	AT4G09730
Q9CAI7	AT1G72730
Q9C8J1	AT1G51380
Q93ZG7	AT3G53110
Q84TG1	AT3G09720
Q9LU46	AT5G51280
Q39189	AT5G62190
Q8L7S8	AT5G26742
Q9LUW6	AT3G22310
A0A1P8B723	AT4G09435
Q9XGM3	AT5G45250
Q9FKE2	AT5G45230
F4KIF3	AT5G17880
O49465	AT4G19470
Q9SZ66	AT4G12010
F4JK03	AT4G09430
Q9M0Q5	AT4G09360
F4KFY5	AT5G40100
F4I901	AT1G17600
Q9SSN6	AT1G72900
Q9SSN4	AT1G72920
F4IF04	AT1G72890
Q9FN83	AT5G17680
B3H776	AT5G36930
O81430	AT4G04110
F4HR52	AT1G27170
F4JWL7	AT5G18350
Q9FVT9	AT1G57630
Q9FMB7	AT5G38850
F4I3S8	AT1G63860
Q9CAK1	AT1G63880
Q9CAD9	AT1G63740
F4JYI4	AT5G41740
Q9FFS5	AT5G41550
Q9M285	AT3G44400
Q9LFN1	AT5G11250
F4I270	AT1G69550
Q9FJG4	AT5G17970
F4JWL8	AT5G18360
Q9FH20	AT5G49140
O82500	AT4G11170
F4KFY1	AT5G40060
Q9FHF6	AT5G46490
A0A1P8BDK2	AT5G22690
F4JNB9	AT4G16960
Q8H1N6	AT3G04210
Q147P9	AT5G10050
Q944R2	AT5G65205
Q9M1K9	AT3G42960
Q9C826	AT1G52340
Q9SCU0	AT3G51680
F4JI53	AT4G03140
Q9LW35	AT3G26760
Q9LW34	AT3G26770
O80711	AT2G47150
O80713	AT2G47130
Q9S9W2	AT4G05530
P33207	AT1G24360
Q9SQR4	AT3G03980
Q9SQR2	AT3G04000
A0A1P8BDP1	AT5G18210
Q9SVQ9	AT4G13180
Q9MA93	AT3G05260
F4JTB3	AT4G25640
F4JH46	AT4G00350
Q9LPV4	AT1G12950
Q9SX83	AT1G47530
Q8L616	AT5G17700
Q8W488	AT1G33110
Q9FKQ1	AT5G65380
Q1PDX9	AT5G10420
Q9LVD9	AT3G21690
Q940N9	AT4G21910
O80695	AT1G61890
Q9LYT3	AT3G59030
Q8S8A9	AT2G04066
Q9C9M8	AT1G66760
Q1PFG9	AT1G64820
Q9C994	AT1G71140
Q9SIA1	AT2G04090
Q9SIA4	AT2G04050
Q8VYL8	AT1G15150
Q9LUH3	AT3G23550
Q9LUH2	AT3G23560
O49660	AT4G22790
Q9LE20	AT1G71870
Q9FH21	AT5G49130
Q9ZVH5	AT2G38510
Q9SLV0	AT1G58340
Q9FJ87	AT5G52050
Q9SZE2	AT4G29140
Q4PSF4	AT5G19700
O82752	AT4G23030
Q9SZD8	AT4G29090
Q9LRR4	AT3G14470
Q9LRR5	AT3G14460
C0LGT6	AT5G20480
Q9SD62	AT3G47110
C0LGP4	AT3G47570
Q9SUF1	AT4G08290
F4HZQ7	AT1G21890
Q9LPF1	AT1G44800
Q501F8	AT4G08300
O80638	AT2G39510
F4JRS9	AT4G24980
F4IQX1	AT2G37450
Q9ZUS1	AT2G37460
Q9FL41	AT5G07050
F4IJ08	AT2G40900
Q9LXX8	AT3G56620
Q9M0B8	AT4G30420
Q9SUD5	AT4G28040
F4KHA8	AT5G40230
Q9FL08	AT5G40240
F4JK59	AT4G15540
Q94JU2	AT3G28050
Q9LRS5	AT3G28100
Q945L4	AT5G40210
Q5PP32	AT3G45870
F4KD68	AT5G45370
Q8W4R9	AT4G19185
Q9LV20	AT3G18200
F4J9A3	AT3G53210
Q94AP3	AT1G75500
Q6NMB7	AT1G43650
Q9FGG3	AT5G64700
Q9LI65	AT3G30340
Q9M129	AT4G01450
Q9M130	AT4G01440
Q5XEZ0	AT1G01070
Q8GXB4	AT1G09380
F4HVM3	AT1G68170
Q4PT23	AT1G25270
Q9FXC1	AT1G56710
F4JG70	AT4G01890
Q9FWX5	AT1G02460
Q949Z1	AT1G48100
Q38958	AT3G26610
F4I5U6	AT1G10640
O22699	AT1G60590
Q9LYJ5	AT5G14650
Q94AJ5	AT1G80170
Q9CAL5	AT1G70500
O23147	AT3G57510
Q8RY29	AT2G41850
Q9SFB7	AT3G07970
Q9LW07	AT3G15720
F4JN47	AT4G35670
F4KBP8	AT5G44840
F4JUA3	AT4G32370
F4JUA4	AT4G32375
Q9FFI9	AT5G17200
F4KFW5	AT5G39910
F4HS31	AT1G80140
F4I650	AT1G17150
Q9S761	AT2G40310
F4IA77	AT1G78400
O49319	AT2G33160
P49063	AT3G07850
Q9SFD2	AT3G07820
Q9SFD1	AT3G07830
Q9LUB8	AT5G48140
P49062	AT1G02790
F4JQS2	AT4G18180
O80559	AT2G43890
Q9SYK6	AT1G05650
O22817	AT2G43870
A0A1I9LP65	AT3G59850
O22818	AT2G43860
O04474	AT1G65570
Q9SX20	AT1G68570
Q9SZY4	AT2G26690
Q9LVE0	AT3G21670
Q05085	AT1G12110
Q8VZR7	AT2G40460
Q9M1I2	AT3G54450
Q9SK96	AT1G22550
Q8VZE2	AT1G72120
Q9C7U1	AT1G72140
Q8RX67	AT1G72130
Q0WP01	AT1G22540
P0CI03	AT2G37900
Q9M331	AT3G53960
Q9M390	AT3G54140
Q9LFB8	AT5G01180
Q84WG0	AT2G02020
P46032	AT2G02040
Q3E9B5	AT5G19640
Q8GXN2	AT4G21680
Q9LQL2	AT1G32450
O64629	AT2G45490
P92958	AT3G29160
Q9FLZ3	AT5G39440
Q38997	AT3G01090
Q94CG0	AT5G57630
Q94C40	AT1G48260
Q9MAM1	AT1G01140
Q93VD3	AT1G30270
Q84VQ3	AT5G21326
Q9LDI3	AT5G35410
Q9SEZ7	AT2G25090
Q8W1D5	AT5G25110
O22971	AT2G34180
Q9LP51	AT1G29230
Q9SN43	AT4G18700
Q9FJ55	AT5G45810
O80902	AT2G38490
Q9LZW4	AT5G01820
Q9XIW0	AT3G23000
O65554	AT4G30960
Q9FJ54	AT5G45820
Q9C562	AT5G58380
P92937	AT5G01810
Q9SJH2	AT2G42850
F4IDV9	AT1G12740
Q8L7D5	AT5G48000
F4HQ70	AT1G73340
A0A1P8BDE8	AT5G14400
O64989	AT3G50660
Q940V4	AT3G30180
O23051	AT1G05160
F4HP86	AT1G19630
Q9LJK2	AT3G19270
Q9FH76	AT5G45340
O81077	AT2G29090
Q42569	AT5G05690
Q94IA6	AT3G13730
Q9M066	AT4G36380
Q9LHM1	AT3G12000
Q9FLZ7	AT5G39370
O81832	AT4G27290
O81833	AT4G27300
Q9S972	AT1G65800
O81905	AT4G21380
Q9SY89	AT1G61610
O81906	AT4G21390
O64774	AT1G61460
Q9SXB5	AT1G11303
Q9LPZ9	AT1G11350
Q9LW83	AT3G16030
Q0WRX3	AT3G63470
Q9LSM9	AT3G17180
O23364	AT4G15100
Q9LEY1	AT5G08260
Q0WPR4	AT5G23210
Q9ZQQ0	AT2G35780
Q9SFB5	AT3G07990
Q8S8K6	AT2G35770
Q949Q7	AT4G30810
Q8L9Y0	AT3G02110
Q9M099	AT4G30610
O82229	AT2G24010
Q8VY01	AT2G33530
Q8L7B2	AT4G12910
Q9LSV8	AT3G25420
Q8RUW5	AT2G22990
O81009	AT2G22920
Q8H780	AT2G22980
Q9CAU0	AT1G73270
Q9SQX6	AT3G10450
Q9C7D6	AT3G12203
Q9C7Z9	AT1G33540
Q9C7D3	AT3G12230
Q9C7D4	AT3G12220
Q9M9Q6	AT1G15000
Q9M0G9	AT4G28620
Q9LVM1	AT5G58270
Q9LZB8	AT5G03910
Q8LPQ6	AT4G25450
Q9FWX7	AT1G02520
Q9SYI2	AT4G01820
Q9M0M2	AT4G18050
Q9FHF1	AT5G46540
Q8LPT1	AT2G39480
Q9LJX0	AT3G28860
Q9ZR72	AT2G36910
Q9SGY1	AT1G10680
Q9C7F8	AT1G27940
Q0WML0	AT5G39040
Q8RY46	AT1G70610
Q7XJR9	AT2G17890
Q1PE17	AT4G36070
Q9FKW4	AT5G66210
Q93VK0	AT3G04530
Q9SPK4	AT1G08650
Q8W490	AT1G12680
Q9LDQ1	AT1G12580
Q9SJ61	AT2G35890
Q38869	AT4G09570
Q42396	AT5G23580
Q38872	AT2G17290
Q06850	AT5G04870
Q9ZV15	AT2G38910
Q42479	AT4G23650
Q3E9C0	AT5G19360
P93759	AT2G41860
Q9SIQ7	AT2G31500
Q9SSF8	AT1G74740
Q8W4I7	AT3G51850
Q9SNB6	AT3G46620
Q940T5	AT5G59550
O22283	AT2G39720
Q9ZQF5	AT2G15580
Q9XI67	AT1G14200
O80614	AT2G03000
Q9LQX2	AT1G26800
Q852U6	AT1G49850
A0A1I9LN13	AT3G58720
Q9FN35	AT5G53910
Q9M9U7	AT1G18760
Q9LTU8	AT3G13228
A0A1I9LPW5	AT3G30460
F4HVM4	AT1G68180
Q8GYG0	AT5G08139
Q9FJH4	AT5G60820
Q9LFU4	AT5G15820
Q9FWA5	AT3G02340
Q9LZN3	AT5G01980
Q9SPL2	AT5G64920
Q8RXD3	AT5G20910
O64867	AT2G44330
Q9LJE9	AT3G13430
Q9ZVU8	AT1G55530
Q8L5Z3	AT4G26400
Q9FM98	AT5G56340
Q8LPN7	AT3G19950
Q94AK4	AT3G56580
O22197	AT2G40830
O80757	AT1G60360
Q9M1D5	AT3G60080
Q39214	AT3G07040
Q9STE7	AT3G46730
Q8W474	AT1G58390
Q9XIF0	AT1G59780
Q9SX38	AT1G50180
Q38834	AT3G50950
Q9LEA7	AT4G14630
Q9FMA8	AT5G38940
P92996	AT5G39190
Q9FID0	AT5G39110
P94072	AT5G20630
P94040	AT1G72610
Q9SR72	AT3G10080
Q9FLT3	AT5G61750
P92998	AT1G10460
P93000	AT3G05930
O65252	AT5G26700
Q9FZ27	AT1G02335
Q9M263	AT3G62020
P94014	AT1G09560
Q9LMC9	AT1G18980
Q9S772	AT1G74820
Q9LFK0	AT5G17030
Q9M9E7	AT1G78270
Q9ZWJ3	AT1G22360
Q9SK82	AT1G22400
Q9LMF1	AT1G22380
Q9LMF0	AT1G22370
Q9LME8	AT1G22340
O48715	AT2G26480
Q9SNB1	AT3G46670
Q494Q1	AT3G46700
Q9FI97	AT5G05890
Q9FI96	AT5G05900
Q9FI99	AT5G05870
Q9FIA0	AT5G05860
Q9M052	AT3G55700
Q38847	AT5G13790
Q9M2K8	AT3G57390
Q8RYD9	AT5G23260
A2RVQ5	AT3G57230
Q38840	AT2G22630
Q9SZJ6	AT4G37940
Q9SI38	AT2G14210
Q38836	AT4G09960
P29381	AT3G58780
P29385	AT2G42830
O22456	AT1G24260
P29384	AT3G02310
P29382	AT5G15800
P29383	AT2G03710
Q7X9H6	AT3G30260
Q38876	AT5G60910
Q39081	AT1G26310
P35631	AT1G69120
P29386	AT2G45650
Q1PFC2	AT1G77980
Q9LM46	AT1G22130
F4I8L6	AT1G77950
F4KGH9	AT5G65070
Q9S7Q7	AT5G10140
Q9FIS1	AT5G62165
Q9FLH5	AT5G51860
O82743	AT4G22950
Q38838	AT4G11880
O64645	AT2G45660
Q38857	AT5G57560
Q38910	AT4G25810
P24806	AT4G30270
Q9ZV40	AT2G18800
Q38907	AT5G57550
Q38911	AT4G14130
Q9FKL9	AT5G57530
Q9ZSU4	AT4G25820
Q9SVV2	AT4G28850
Q39099	AT2G06850
Q8LER3	AT4G37800
Q8L9A9	AT1G11545
Q9SV60	AT4G13090
Q8L7H3	AT4G18990
Q38908	AT1G32170
Q8LDS2	AT2G01850
Q38909	AT1G14720
Q8LC45	AT1G10550
Q9SJL9	AT2G36870
P93046	AT3G44990
Q8LDW9	AT4G03210
Q9ZVK1	AT2G14620
Q9LUD2	AT3G14620
Q9LUC8	AT3G14660
A0A1I9LNT1	AT3G14640
A0A1I9LTL1	AT3G14630
Q9LUD3	AT3G14610
Q9FRK4	AT1G75130
O48786	AT2G26710
F4IK45	AT2G46950
Q9ASR3	AT2G46960
Q9T093	AT4G27710
Q9FF18	AT5G38450
F4KG63	AT5G52400
Q93Z79	AT5G24910
Q6NKZ8	AT5G24900
Q9LZG7	AT3G43800
Q9M9F1	AT1G78320
Q8GYM1	AT1G78340
Q8L7C9	AT1G78370
Q9ZRW8	AT1G78380
Q9SHH6	AT1G17170
Q9SHH7	AT1G17180
Q9SHH8	AT1G17190
Q9C8M3	AT1G53680
Q9LQ48	AT1G59670
Q9FUS9	AT1G10360
Q9FUS8	AT1G10370
Q9CAS6	AT1G69930
Q6NMS0	AT1G69920
Q9FUT1	AT1G27140
Q9FUT0	AT5G62480
Q9CA57	AT1G74590
P46421	AT2G29450
Q9ZW30	AT2G29490
Q9ZW29	AT2G29480
Q9ZW28	AT2G29470
Q9ZW24	AT2G29420
F4ICB6	AT1G18670
F4HTX0	AT1G74330
B5X564	AT5G39420
Q9C9I9	AT1G71530
Q9T0F9	AT4G10010
F4I114	AT1G09600
F4I854	AT1G57700
Q9LNN0	AT1G53050
Q9MAB4	AT3G05050
Q9ZVM9	AT1G54610
Q8W4P1	AT5G64960
Q84TI6	AT5G63610
Q8LG64	AT1G20930
P25859	AT3G54180
Q2V419	AT2G38620
P24100	AT3G48750
Q9C9M7	AT1G66750
Q9LMT0	AT1G18040
P43294	AT4G13020
F4JSF8	AT4G19110
Q8H0X4	AT5G45430
Q9FGW5	AT5G63370
Q9CAG1	AT1G67580
O80345	AT4G28980
Q9LQM8	AT1G32320
Q9FX43	AT1G73500
O80397	AT1G51660
Q8RXG3	AT3G21220
Q94A06	AT4G26070
