genes	chrom	block	hex	rgb
AT1G01610	1	A	#faec29	250,236,41
AT1G01620	1	A	#faec29	250,236,41
AT1G01630	1	A	#faec29	250,236,41
AT1G01640	1	A	#faec29	250,236,41
AT1G01650	1	A	#faec29	250,236,41
AT1G01660	1	A	#faec29	250,236,41
AT1G01670	1	A	#faec29	250,236,41
AT1G01680	1	A	#faec29	250,236,41
AT1G01690	1	A	#faec29	250,236,41
AT1G01695	1	A	#faec29	250,236,41
AT1G01700	1	A	#faec29	250,236,41
AT1G01710	1	A	#faec29	250,236,41
AT1G01720	1	A	#faec29	250,236,41
AT1G01725	1	A	#faec29	250,236,41
AT1G01730	1	A	#faec29	250,236,41
AT1G01740	1	A	#faec29	250,236,41
AT1G01750	1	A	#faec29	250,236,41
AT1G01760	1	A	#faec29	250,236,41
AT1G01770	1	A	#faec29	250,236,41
AT1G01780	1	A	#faec29	250,236,41
AT1G01790	1	A	#faec29	250,236,41
AT1G01800	1	A	#faec29	250,236,41
AT1G01810	1	A	#faec29	250,236,41
AT1G01820	1	A	#faec29	250,236,41
AT1G01830	1	A	#faec29	250,236,41
AT1G01840	1	A	#faec29	250,236,41
AT1G01860	1	A	#faec29	250,236,41
AT1G01870	1	A	#faec29	250,236,41
AT1G01880	1	A	#faec29	250,236,41
AT1G01890	1	A	#faec29	250,236,41
AT1G01900	1	A	#faec29	250,236,41
AT1G01910	1	A	#faec29	250,236,41
AT1G01920	1	A	#faec29	250,236,41
AT1G01930	1	A	#faec29	250,236,41
AT1G01940	1	A	#faec29	250,236,41
AT1G01950	1	A	#faec29	250,236,41
AT1G01960	1	A	#faec29	250,236,41
AT1G01970	1	A	#faec29	250,236,41
AT1G01980	1	A	#faec29	250,236,41
AT1G01990	1	A	#faec29	250,236,41
AT1G02000	1	A	#faec29	250,236,41
AT1G02010	1	A	#faec29	250,236,41
AT1G02020	1	A	#faec29	250,236,41
AT1G02030	1	A	#faec29	250,236,41
AT1G02040	1	A	#faec29	250,236,41
AT1G02050	1	A	#faec29	250,236,41
AT1G02060	1	A	#faec29	250,236,41
AT1G02065	1	A	#faec29	250,236,41
AT1G02070	1	A	#faec29	250,236,41
AT1G02074	1	A	#faec29	250,236,41
AT1G02080	1	A	#faec29	250,236,41
AT1G02090	1	A	#faec29	250,236,41
AT1G02100	1	A	#faec29	250,236,41
AT1G02110	1	A	#faec29	250,236,41
AT1G02120	1	A	#faec29	250,236,41
AT1G02130	1	A	#faec29	250,236,41
AT1G02136	1	A	#faec29	250,236,41
AT1G02140	1	A	#faec29	250,236,41
AT1G02145	1	A	#faec29	250,236,41
AT1G02150	1	A	#faec29	250,236,41
AT1G02160	1	A	#faec29	250,236,41
AT1G02170	1	A	#faec29	250,236,41
AT1G02180	1	A	#faec29	250,236,41
AT1G02190	1	A	#faec29	250,236,41
AT1G02205	1	A	#faec29	250,236,41
AT1G02210	1	A	#faec29	250,236,41
AT1G02220	1	A	#faec29	250,236,41
AT1G02228	1	A	#faec29	250,236,41
AT1G02230	1	A	#faec29	250,236,41
AT1G02250	1	A	#faec29	250,236,41
AT1G02260	1	A	#faec29	250,236,41
AT1G02270	1	A	#faec29	250,236,41
AT1G02280	1	A	#faec29	250,236,41
AT1G02290	1	A	#faec29	250,236,41
AT1G02300	1	A	#faec29	250,236,41
AT1G02305	1	A	#faec29	250,236,41
AT1G02310	1	A	#faec29	250,236,41
AT1G02320	1	A	#faec29	250,236,41
AT1G02330	1	A	#faec29	250,236,41
AT1G02335	1	A	#faec29	250,236,41
AT1G02340	1	A	#faec29	250,236,41
AT1G02350	1	A	#faec29	250,236,41
AT1G02360	1	A	#faec29	250,236,41
AT1G02370	1	A	#faec29	250,236,41
AT1G02380	1	A	#faec29	250,236,41
AT1G02390	1	A	#faec29	250,236,41
AT1G02391	1	A	#faec29	250,236,41
AT1G02400	1	A	#faec29	250,236,41
AT1G02405	1	A	#faec29	250,236,41
AT1G02410	1	A	#faec29	250,236,41
AT1G02420	1	A	#faec29	250,236,41
AT1G02430	1	A	#faec29	250,236,41
AT1G02440	1	A	#faec29	250,236,41
AT1G02450	1	A	#faec29	250,236,41
AT1G02460	1	A	#faec29	250,236,41
AT1G02470	1	A	#faec29	250,236,41
AT1G02475	1	A	#faec29	250,236,41
AT1G02480	1	A	#faec29	250,236,41
AT1G02490	1	A	#faec29	250,236,41
AT1G02500	1	A	#faec29	250,236,41
AT1G02510	1	A	#faec29	250,236,41
AT1G02520	1	A	#faec29	250,236,41
AT1G02530	1	A	#faec29	250,236,41
AT1G02540	1	A	#faec29	250,236,41
AT1G02550	1	A	#faec29	250,236,41
AT1G02560	1	A	#faec29	250,236,41
AT1G02570	1	A	#faec29	250,236,41
AT1G02575	1	A	#faec29	250,236,41
AT1G02580	1	A	#faec29	250,236,41
AT1G02590	1	A	#faec29	250,236,41
AT1G02600	1	A	#faec29	250,236,41
AT1G02610	1	A	#faec29	250,236,41
AT1G02620	1	A	#faec29	250,236,41
AT1G02630	1	A	#faec29	250,236,41
AT1G02640	1	A	#faec29	250,236,41
AT1G02650	1	A	#faec29	250,236,41
AT1G02660	1	A	#faec29	250,236,41
AT1G02670	1	A	#faec29	250,236,41
AT1G02680	1	A	#faec29	250,236,41
AT1G02681	1	A	#faec29	250,236,41
AT1G02690	1	A	#faec29	250,236,41
AT1G02700	1	A	#faec29	250,236,41
AT1G02710	1	A	#faec29	250,236,41
AT1G02720	1	A	#faec29	250,236,41
AT1G02730	1	A	#faec29	250,236,41
AT1G02740	1	A	#faec29	250,236,41
AT1G02750	1	A	#faec29	250,236,41
AT1G02760	1	A	#faec29	250,236,41
AT1G02770	1	A	#faec29	250,236,41
AT1G02780	1	A	#faec29	250,236,41
AT1G02790	1	A	#faec29	250,236,41
AT1G02800	1	A	#faec29	250,236,41
AT1G02810	1	A	#faec29	250,236,41
AT1G02813	1	A	#faec29	250,236,41
AT1G02816	1	A	#faec29	250,236,41
AT1G02820	1	A	#faec29	250,236,41
AT1G02830	1	A	#faec29	250,236,41
AT1G02840	1	A	#faec29	250,236,41
AT1G02850	1	A	#faec29	250,236,41
AT1G02860	1	A	#faec29	250,236,41
AT1G02870	1	A	#faec29	250,236,41
AT1G02880	1	A	#faec29	250,236,41
AT1G02890	1	A	#faec29	250,236,41
AT1G02900	1	A	#faec29	250,236,41
AT1G02910	1	A	#faec29	250,236,41
AT1G02920	1	A	#faec29	250,236,41
AT1G02930	1	A	#faec29	250,236,41
AT1G02940	1	A	#faec29	250,236,41
AT1G02950	1	A	#faec29	250,236,41
AT1G02952	1	A	#faec29	250,236,41
AT1G02960	1	A	#faec29	250,236,41
AT1G02965	1	A	#faec29	250,236,41
AT1G02970	1	A	#faec29	250,236,41
AT1G02980	1	A	#faec29	250,236,41
AT1G02990	1	A	#faec29	250,236,41
AT1G03000	1	A	#faec29	250,236,41
AT1G03010	1	A	#faec29	250,236,41
AT1G03020	1	A	#faec29	250,236,41
AT1G03022	1	A	#faec29	250,236,41
AT1G03030	1	A	#faec29	250,236,41
AT1G03040	1	A	#faec29	250,236,41
AT1G03050	1	A	#faec29	250,236,41
AT1G03055	1	A	#faec29	250,236,41
AT1G03060	1	A	#faec29	250,236,41
AT1G03070	1	A	#faec29	250,236,41
AT1G03080	1	A	#faec29	250,236,41
AT1G03090	1	A	#faec29	250,236,41
AT1G03100	1	A	#faec29	250,236,41
AT1G03103	1	A	#faec29	250,236,41
AT1G03106	1	A	#faec29	250,236,41
AT1G03110	1	A	#faec29	250,236,41
AT1G03120	1	A	#faec29	250,236,41
AT1G03130	1	A	#faec29	250,236,41
AT1G03140	1	A	#faec29	250,236,41
AT1G03150	1	A	#faec29	250,236,41
AT1G03160	1	A	#faec29	250,236,41
AT1G03170	1	A	#faec29	250,236,41
AT1G03180	1	A	#faec29	250,236,41
AT1G03190	1	A	#faec29	250,236,41
AT1G03200	1	A	#faec29	250,236,41
AT1G03210	1	A	#faec29	250,236,41
AT1G03220	1	A	#faec29	250,236,41
AT1G03230	1	A	#faec29	250,236,41
AT1G03240	1	A	#faec29	250,236,41
AT1G03250	1	A	#faec29	250,236,41
AT1G03260	1	A	#faec29	250,236,41
AT1G03270	1	A	#faec29	250,236,41
AT1G03280	1	A	#faec29	250,236,41
AT1G03290	1	A	#faec29	250,236,41
AT1G03300	1	A	#faec29	250,236,41
AT1G03310	1	A	#faec29	250,236,41
AT1G03320	1	A	#faec29	250,236,41
AT1G03330	1	A	#faec29	250,236,41
AT1G03340	1	A	#faec29	250,236,41
AT1G03350	1	A	#faec29	250,236,41
AT1G03360	1	A	#faec29	250,236,41
AT1G03365	1	A	#faec29	250,236,41
AT1G03370	1	A	#faec29	250,236,41
AT1G03380	1	A	#faec29	250,236,41
AT1G03390	1	A	#faec29	250,236,41
AT1G03400	1	A	#faec29	250,236,41
AT1G03410	1	A	#faec29	250,236,41
AT1G03420	1	A	#faec29	250,236,41
AT1G03430	1	A	#faec29	250,236,41
AT1G03440	1	A	#faec29	250,236,41
AT1G03445	1	A	#faec29	250,236,41
AT1G03457	1	A	#faec29	250,236,41
AT1G03470	1	A	#faec29	250,236,41
AT1G03475	1	A	#faec29	250,236,41
AT1G03490	1	A	#faec29	250,236,41
AT1G03495	1	A	#faec29	250,236,41
AT1G03502	1	A	#faec29	250,236,41
AT1G03506	1	A	#faec29	250,236,41
AT1G03510	1	A	#faec29	250,236,41
AT1G03515	1	A	#faec29	250,236,41
AT1G03520	1	A	#faec29	250,236,41
AT1G03530	1	A	#faec29	250,236,41
AT1G03540	1	A	#faec29	250,236,41
AT1G03550	1	A	#faec29	250,236,41
AT1G03545	1	A	#faec29	250,236,41
AT1G03560	1	A	#faec29	250,236,41
AT1G03570	1	A	#faec29	250,236,41
AT1G03580	1	A	#faec29	250,236,41
AT1G03590	1	A	#faec29	250,236,41
AT1G03600	1	A	#faec29	250,236,41
AT1G03610	1	A	#faec29	250,236,41
AT1G03620	1	A	#faec29	250,236,41
AT1G03630	1	A	#faec29	250,236,41
AT1G03640	1	A	#faec29	250,236,41
AT1G03650	1	A	#faec29	250,236,41
AT1G03660	1	A	#faec29	250,236,41
AT1G03670	1	A	#faec29	250,236,41
AT1G03680	1	A	#faec29	250,236,41
AT1G03687	1	A	#faec29	250,236,41
AT1G03700	1	A	#faec29	250,236,41
AT1G03710	1	A	#faec29	250,236,41
AT1G03720	1	A	#faec29	250,236,41
AT1G03730	1	A	#faec29	250,236,41
AT1G03740	1	A	#faec29	250,236,41
AT1G03743	1	A	#faec29	250,236,41
AT1G03746	1	A	#faec29	250,236,41
AT1G03750	1	A	#faec29	250,236,41
AT1G03760	1	A	#faec29	250,236,41
AT1G03770	1	A	#faec29	250,236,41
AT1G03780	1	A	#faec29	250,236,41
AT1G03790	1	A	#faec29	250,236,41
AT1G03800	1	A	#faec29	250,236,41
AT1G03810	1	A	#faec29	250,236,41
AT1G03820	1	A	#faec29	250,236,41
AT1G03830	1	A	#faec29	250,236,41
AT1G03840	1	A	#faec29	250,236,41
AT1G03850	1	A	#faec29	250,236,41
AT1G03860	1	A	#faec29	250,236,41
AT1G03870	1	A	#faec29	250,236,41
AT1G03880	1	A	#faec29	250,236,41
AT1G03890	1	A	#faec29	250,236,41
AT1G03900	1	A	#faec29	250,236,41
AT1G03905	1	A	#faec29	250,236,41
AT1G03910	1	A	#faec29	250,236,41
AT1G03920	1	A	#faec29	250,236,41
AT1G03930	1	A	#faec29	250,236,41
AT1G03935	1	A	#faec29	250,236,41
AT1G03940	1	A	#faec29	250,236,41
AT1G03950	1	A	#faec29	250,236,41
AT1G03960	1	A	#faec29	250,236,41
AT1G03970	1	A	#faec29	250,236,41
AT1G03980	1	A	#faec29	250,236,41
AT1G03982	1	A	#faec29	250,236,41
AT1G03990	1	A	#faec29	250,236,41
AT1G04000	1	A	#faec29	250,236,41
AT1G04010	1	A	#faec29	250,236,41
AT1G04020	1	A	#faec29	250,236,41
AT1G04030	1	A	#faec29	250,236,41
AT1G04040	1	A	#faec29	250,236,41
AT1G04050	1	A	#faec29	250,236,41
AT1G04070	1	A	#faec29	250,236,41
AT1G04080	1	A	#faec29	250,236,41
AT1G04090	1	A	#faec29	250,236,41
AT1G04100	1	A	#faec29	250,236,41
AT1G04110	1	A	#faec29	250,236,41
AT1G04120	1	A	#faec29	250,236,41
AT1G04130	1	A	#faec29	250,236,41
AT1G04140	1	A	#faec29	250,236,41
AT1G04150	1	A	#faec29	250,236,41
AT1G04160	1	A	#faec29	250,236,41
AT1G04170	1	A	#faec29	250,236,41
AT1G04171	1	A	#faec29	250,236,41
AT1G04180	1	A	#faec29	250,236,41
AT1G04190	1	A	#faec29	250,236,41
AT1G04200	1	A	#faec29	250,236,41
AT1G04210	1	A	#faec29	250,236,41
AT1G04220	1	A	#faec29	250,236,41
AT1G04230	1	A	#faec29	250,236,41
AT1G04240	1	A	#faec29	250,236,41
AT1G04250	1	A	#faec29	250,236,41
AT1G04260	1	A	#faec29	250,236,41
AT1G04270	1	A	#faec29	250,236,41
AT1G04280	1	A	#faec29	250,236,41
AT1G04290	1	A	#faec29	250,236,41
AT1G04295	1	A	#faec29	250,236,41
AT1G04300	1	A	#faec29	250,236,41
AT1G04310	1	A	#faec29	250,236,41
AT1G04320	1	A	#faec29	250,236,41
AT1G04330	1	A	#faec29	250,236,41
AT1G04340	1	A	#faec29	250,236,41
AT1G04350	1	A	#faec29	250,236,41
AT1G04360	1	A	#faec29	250,236,41
AT1G04370	1	A	#faec29	250,236,41
AT1G04380	1	A	#faec29	250,236,41
AT1G04390	1	A	#faec29	250,236,41
AT1G04400	1	A	#faec29	250,236,41
AT1G04410	1	A	#faec29	250,236,41
AT1G04420	1	A	#faec29	250,236,41
AT1G04425	1	A	#faec29	250,236,41
AT1G04430	1	A	#faec29	250,236,41
AT1G04440	1	A	#faec29	250,236,41
AT1G04445	1	A	#faec29	250,236,41
AT1G04450	1	A	#faec29	250,236,41
AT1G04457	1	A	#faec29	250,236,41
AT1G04470	1	A	#faec29	250,236,41
AT1G04480	1	A	#faec29	250,236,41
AT1G04490	1	A	#faec29	250,236,41
AT1G04500	1	A	#faec29	250,236,41
AT1G04501	1	A	#faec29	250,236,41
AT1G04510	1	A	#faec29	250,236,41
AT1G04520	1	A	#faec29	250,236,41
AT1G04530	1	A	#faec29	250,236,41
AT1G04540	1	A	#faec29	250,236,41
AT1G04550	1	A	#faec29	250,236,41
AT1G04555	1	A	#faec29	250,236,41
AT1G04560	1	A	#faec29	250,236,41
AT1G04570	1	A	#faec29	250,236,41
AT1G04580	1	A	#faec29	250,236,41
AT1G04590	1	A	#faec29	250,236,41
AT1G04600	1	A	#faec29	250,236,41
AT1G04610	1	A	#faec29	250,236,41
AT1G04620	1	A	#faec29	250,236,41
AT1G04625	1	A	#faec29	250,236,41
AT1G04630	1	A	#faec29	250,236,41
AT1G04635	1	A	#faec29	250,236,41
AT1G04640	1	A	#faec29	250,236,41
AT1G04645	1	A	#faec29	250,236,41
AT1G04650	1	A	#faec29	250,236,41
AT1G04660	1	A	#faec29	250,236,41
AT1G04670	1	A	#faec29	250,236,41
AT1G04680	1	A	#faec29	250,236,41
AT1G04684	1	A	#faec29	250,236,41
AT1G04690	1	A	#faec29	250,236,41
AT1G04700	1	A	#faec29	250,236,41
AT1G04710	1	A	#faec29	250,236,41
AT1G04720	1	A	#faec29	250,236,41
AT1G04730	1	A	#faec29	250,236,41
AT1G04750	1	A	#faec29	250,236,41
AT1G04760	1	A	#faec29	250,236,41
AT1G04770	1	A	#faec29	250,236,41
AT1G04778	1	A	#faec29	250,236,41
AT1G04780	1	A	#faec29	250,236,41
AT1G04790	1	A	#faec29	250,236,41
AT1G04800	1	A	#faec29	250,236,41
AT1G04810	1	A	#faec29	250,236,41
AT1G04820	1	A	#faec29	250,236,41
AT1G04830	1	A	#faec29	250,236,41
AT1G04840	1	A	#faec29	250,236,41
AT1G04850	1	A	#faec29	250,236,41
AT1G04860	1	A	#faec29	250,236,41
AT1G04870	1	A	#faec29	250,236,41
AT1G04880	1	A	#faec29	250,236,41
AT1G04890	1	A	#faec29	250,236,41
AT1G04900	1	A	#faec29	250,236,41
AT1G04910	1	A	#faec29	250,236,41
AT1G04920	1	A	#faec29	250,236,41
AT1G04930	1	A	#faec29	250,236,41
AT1G04945	1	A	#faec29	250,236,41
AT1G04940	1	A	#faec29	250,236,41
AT1G04950	1	A	#faec29	250,236,41
AT1G04960	1	A	#faec29	250,236,41
AT1G04970	1	A	#faec29	250,236,41
AT1G04980	1	A	#faec29	250,236,41
AT1G04985	1	A	#faec29	250,236,41
AT1G04990	1	A	#faec29	250,236,41
AT1G05000	1	A	#faec29	250,236,41
AT1G05010	1	A	#faec29	250,236,41
AT1G05020	1	A	#faec29	250,236,41
AT1G05030	1	A	#faec29	250,236,41
AT1G05040	1	A	#faec29	250,236,41
AT1G05055	1	A	#faec29	250,236,41
AT1G05060	1	A	#faec29	250,236,41
AT1G05061	1	A	#faec29	250,236,41
AT1G05065	1	A	#faec29	250,236,41
AT1G05070	1	A	#faec29	250,236,41
AT1G05080	1	A	#faec29	250,236,41
AT1G05085	1	A	#faec29	250,236,41
AT1G05090	1	A	#faec29	250,236,41
AT1G05100	1	A	#faec29	250,236,41
AT1G05120	1	A	#faec29	250,236,41
AT1G05135	1	A	#faec29	250,236,41
AT1G05136	1	A	#faec29	250,236,41
AT1G05140	1	A	#faec29	250,236,41
AT1G05150	1	A	#faec29	250,236,41
AT1G05160	1	A	#faec29	250,236,41
AT1G05170	1	A	#faec29	250,236,41
AT1G05180	1	A	#faec29	250,236,41
AT1G05190	1	A	#faec29	250,236,41
AT1G05200	1	A	#faec29	250,236,41
AT1G05205	1	A	#faec29	250,236,41
AT1G05210	1	A	#faec29	250,236,41
AT1G05220	1	A	#faec29	250,236,41
AT1G05230	1	A	#faec29	250,236,41
AT1G05240	1	A	#faec29	250,236,41
AT1G05250	1	A	#faec29	250,236,41
AT1G05260	1	A	#faec29	250,236,41
AT1G05270	1	A	#faec29	250,236,41
AT1G05280	1	A	#faec29	250,236,41
AT1G05290	1	A	#faec29	250,236,41
AT1G05291	1	A	#faec29	250,236,41
AT1G05300	1	A	#faec29	250,236,41
AT1G05310	1	A	#faec29	250,236,41
AT1G05320	1	A	#faec29	250,236,41
AT1G05330	1	A	#faec29	250,236,41
AT1G05340	1	A	#faec29	250,236,41
AT1G05350	1	A	#faec29	250,236,41
AT1G05360	1	A	#faec29	250,236,41
AT1G05370	1	A	#faec29	250,236,41
AT1G05380	1	A	#faec29	250,236,41
AT1G05385	1	A	#faec29	250,236,41
AT1G05390	1	A	#faec29	250,236,41
AT1G05400	1	A	#faec29	250,236,41
AT1G05410	1	A	#faec29	250,236,41
AT1G05420	1	A	#faec29	250,236,41
AT1G05430	1	A	#faec29	250,236,41
AT1G05440	1	A	#faec29	250,236,41
AT1G05450	1	A	#faec29	250,236,41
AT1G05460	1	A	#faec29	250,236,41
AT1G05470	1	A	#faec29	250,236,41
AT1G05490	1	A	#faec29	250,236,41
AT1G05500	1	A	#faec29	250,236,41
AT1G05510	1	A	#faec29	250,236,41
AT1G05520	1	A	#faec29	250,236,41
AT1G05530	1	A	#faec29	250,236,41
AT1G05540	1	A	#faec29	250,236,41
AT1G05550	1	A	#faec29	250,236,41
AT1G05560	1	A	#faec29	250,236,41
AT1G05562	1	A	#faec29	250,236,41
AT1G05570	1	A	#faec29	250,236,41
AT1G05575	1	A	#faec29	250,236,41
AT1G05577	1	A	#faec29	250,236,41
AT1G05580	1	A	#faec29	250,236,41
AT1G05590	1	A	#faec29	250,236,41
AT1G05600	1	A	#faec29	250,236,41
AT1G05610	1	A	#faec29	250,236,41
AT1G05615	1	A	#faec29	250,236,41
AT1G05620	1	A	#faec29	250,236,41
AT1G05630	1	A	#faec29	250,236,41
AT1G05640	1	A	#faec29	250,236,41
AT1G05650	1	A	#faec29	250,236,41
AT1G05660	1	A	#faec29	250,236,41
AT1G05670	1	A	#faec29	250,236,41
AT1G05675	1	A	#faec29	250,236,41
AT1G05680	1	A	#faec29	250,236,41
AT1G05690	1	A	#faec29	250,236,41
AT1G05700	1	A	#faec29	250,236,41
AT1G05710	1	A	#faec29	250,236,41
AT1G05720	1	A	#faec29	250,236,41
AT1G05730	1	A	#faec29	250,236,41
AT1G05740	1	A	#faec29	250,236,41
AT1G05750	1	A	#faec29	250,236,41
AT1G05760	1	A	#faec29	250,236,41
AT1G05770	1	A	#faec29	250,236,41
AT1G05780	1	A	#faec29	250,236,41
AT1G05785	1	A	#faec29	250,236,41
AT1G05790	1	A	#faec29	250,236,41
AT1G05800	1	A	#faec29	250,236,41
AT1G05805	1	A	#faec29	250,236,41
AT1G05810	1	A	#faec29	250,236,41
AT1G05820	1	A	#faec29	250,236,41
AT1G05830	1	A	#faec29	250,236,41
AT1G05835	1	A	#faec29	250,236,41
AT1G05840	1	A	#faec29	250,236,41
AT1G05850	1	A	#faec29	250,236,41
AT1G05860	1	A	#faec29	250,236,41
AT1G05870	1	A	#faec29	250,236,41
AT1G05880	1	A	#faec29	250,236,41
AT1G05890	1	A	#faec29	250,236,41
AT1G05894	1	A	#faec29	250,236,41
AT1G05900	1	A	#faec29	250,236,41
AT1G05910	1	A	#faec29	250,236,41
AT1G05920	1	A	#faec29	250,236,41
AT1G05925	1	A	#faec29	250,236,41
AT1G05930	1	A	#faec29	250,236,41
AT1G05940	1	A	#faec29	250,236,41
AT1G05950	1	A	#faec29	250,236,41
AT1G05960	1	A	#faec29	250,236,41
AT1G05970	1	A	#faec29	250,236,41
AT1G05980	1	A	#faec29	250,236,41
AT1G05990	1	A	#faec29	250,236,41
AT1G06000	1	A	#faec29	250,236,41
AT1G06002	1	A	#faec29	250,236,41
AT1G06010	1	A	#faec29	250,236,41
AT1G06020	1	A	#faec29	250,236,41
AT1G06030	1	A	#faec29	250,236,41
AT1G06040	1	A	#faec29	250,236,41
AT1G06050	1	A	#faec29	250,236,41
AT1G06060	1	A	#faec29	250,236,41
AT1G06070	1	A	#faec29	250,236,41
AT1G06080	1	A	#faec29	250,236,41
AT1G06090	1	A	#faec29	250,236,41
AT1G06100	1	A	#faec29	250,236,41
AT1G06110	1	A	#faec29	250,236,41
AT1G06120	1	A	#faec29	250,236,41
AT1G06130	1	A	#faec29	250,236,41
AT1G06135	1	A	#faec29	250,236,41
AT1G06137	1	A	#faec29	250,236,41
AT1G06140	1	A	#faec29	250,236,41
AT1G06150	1	A	#faec29	250,236,41
AT1G06149	1	A	#faec29	250,236,41
AT1G06148	1	A	#faec29	250,236,41
AT1G06160	1	A	#faec29	250,236,41
AT1G06170	1	A	#faec29	250,236,41
AT1G06180	1	A	#faec29	250,236,41
AT1G06190	1	A	#faec29	250,236,41
AT1G06200	1	A	#faec29	250,236,41
AT1G06210	1	A	#faec29	250,236,41
AT1G06220	1	A	#faec29	250,236,41
AT1G06225	1	A	#faec29	250,236,41
AT1G06230	1	A	#faec29	250,236,41
AT1G06240	1	A	#faec29	250,236,41
AT1G06250	1	A	#faec29	250,236,41
AT1G06265	1	A	#faec29	250,236,41
AT1G06260	1	A	#faec29	250,236,41
AT1G06270	1	A	#faec29	250,236,41
AT1G06280	1	A	#faec29	250,236,41
AT1G06290	1	A	#faec29	250,236,41
AT1G06310	1	A	#faec29	250,236,41
AT1G06320	1	A	#faec29	250,236,41
AT1G06330	1	A	#faec29	250,236,41
AT1G06340	1	A	#faec29	250,236,41
AT1G06350	1	A	#faec29	250,236,41
AT1G06360	1	A	#faec29	250,236,41
AT1G06370	1	A	#faec29	250,236,41
AT1G06380	1	A	#faec29	250,236,41
AT1G06390	1	A	#faec29	250,236,41
AT1G06400	1	A	#faec29	250,236,41
AT1G06410	1	A	#faec29	250,236,41
AT1G06420	1	A	#faec29	250,236,41
AT1G06430	1	A	#faec29	250,236,41
AT1G06440	1	A	#faec29	250,236,41
AT1G06450	1	A	#faec29	250,236,41
AT1G06460	1	A	#faec29	250,236,41
AT1G06470	1	A	#faec29	250,236,41
AT1G06475	1	A	#faec29	250,236,41
AT1G06480	1	A	#faec29	250,236,41
AT1G06490	1	A	#faec29	250,236,41
AT1G06500	1	A	#faec29	250,236,41
AT1G06515	1	A	#faec29	250,236,41
AT1G06510	1	A	#faec29	250,236,41
AT1G06520	1	A	#faec29	250,236,41
AT1G06530	1	A	#faec29	250,236,41
AT1G06540	1	A	#faec29	250,236,41
AT1G06550	1	A	#faec29	250,236,41
AT1G06560	1	A	#faec29	250,236,41
AT1G06570	1	A	#faec29	250,236,41
AT1G06580	1	A	#faec29	250,236,41
AT1G06590	1	A	#faec29	250,236,41
AT1G06610	1	A	#faec29	250,236,41
AT1G06620	1	A	#faec29	250,236,41
