Bna	Ath_uniprot	Ath_agi	ACK_block	consensus_ACK	consensus_score	Ath_position	Ath_increment
A01p00510.1_BnaDAR	Q9SV96	AT4G39620	U	U	5789.05	27359	22778
A01p00520.1_BnaDAR	Q8VYW6	AT4G39640	U	U	5997.99	27361	2
A01p00540.1_BnaDAR	Q8VYW6	AT4G39640	U	U	5905.55	27361	0
A01p00550.1_BnaDAR	Q940M2	AT4G39660	U	U	5653.75	27363	2
A01p00570.1_BnaDAR	O65655	AT4G39680	U	U	5295.99	27366	3
A01p00580.1_BnaDAR	Q9ASV5	AT4G39690	U	U	5003.54	27367	1
A01p00590.1_BnaDAR	O65657	AT4G39700	U	U	4968.07	27368	1
A01p00600.1_BnaDAR	Q9SCY3	AT4G39710	U	U	4919.76	27369	1
A01p00610.1_BnaDAR	A0A1P8B4F7	AT4G39720	U	U	4833.23	27370	1
A01p00620.1_BnaDAR	Q8LAL0	AT4G39740	U	U	4870.52	27372	2
A01p00630.1_BnaDAR	Q1PE09	AT4G39753	U	U	4832.81	27375	3
A01p00640.1_BnaDAR	Q8GWG2	AT4G39770	U	U	4779.23	27378	3
A01p00650.1_BnaDAR	Q2V3J8	AT3G25720	L	U	4557.14	16202	-11176
A01p00650.1_BnaDAR	Q3EB05	AT3G25720	L	U	4557.14	16202	0
A01p00660.1_BnaDAR	O65665	AT4G39780	U	U	4775.71	27379	11177
A01p00670.1_BnaDAR	Q5XV54	AT4G39790	U	U	4997.44	27380	1
A01p00690.1_BnaDAR	F4JW68	AT4G39795	U	U	4630.19	27381	1
A01p00700.1_BnaDAR	Q5XV54	AT4G39790	U	U	4673.63	27380	-1
A01p00710.1_BnaDAR	F4JW68	AT4G39795	U	U	4696.61	27381	1
A01p00720.1_BnaDAR	P42801	AT4G39800	U	U	5218.07	27382	1
A01p00730.1_BnaDAR	F4JJ23	AT4G39810	U	U	5029.8	27383	1
A01p00740.1_BnaDAR	O65669	AT4G39820	U	U	5035.46	27384	1
A01p00750.1_BnaDAR	Q9SMR9	AT4G39840	U	U	5123.37	27386	2
A01p00760.1_BnaDAR	Q9SMR7	AT4G39860	U	U	5190.51	27388	2
A01p00770.1_BnaDAR	Q8GUN9	AT4G39870	U	U	5242.86	27389	1
A01p00790.1_BnaDAR	Q93VM6	AT4G39900	U	U	5288.95	27392	3
A01p00810.1_BnaDAR	O24454	AT4G39910	U	U	5602.46	27393	1
A01p00820.1_BnaDAR	O49196	AT4G39940	U	U	5632.57	27398	5
A01p00830.1_BnaDAR	O81346	AT4G39950	U	U	6032.08	27399	1
A01p00840.1_BnaDAR	Q3E9N1	AT4G39952	U	U	6205.23	27400	1
A01p00860.1_BnaDAR	Q940V1	AT4G39960	U	U	5988.77	27402	2
A01p00880.1_BnaDAR	P29976	AT4G39980	U	U	6121.87	27404	2
A01p00890.1_BnaDAR	Q9FJN8	AT4G39990	U	U	5801.47	27405	1
A01p00920.1_BnaDAR	F4JJ52	AT4G40000	U	U	6131.53	27406	1
A01p00930.1_BnaDAR	Q9SMQ4	AT4G40010	U	U	5766.79	27407	1
A01p00940.1_BnaDAR	Q9SMQ3	AT4G40020	U	U	5628.35	27409	2
A01p00960.1_BnaDAR	Q84MC9	AT4G40042	U	U	5444.83	27412	3
A01p00970.1_BnaDAR	Q940J7	AT4G40045	U	U	5484.85	27413	1
A01p00980.1_BnaDAR	Q94BN1	AT4G40050	U	U	5965.53	27414	1
A01p01000.1_BnaDAR	Q940J1	AT4G40060	U	U	5630.96	27415	1
A01p01010.1_BnaDAR	Q8L936	AT4G40080	U	U	5754.25	27418	3
A01p01020.1_BnaDAR	Q9ZT17	AT4G40090	U	U	5504.26	27419	1
A01p01030.1_BnaDAR	Q93VQ7	AT4G38060	U	U	5556.08	27198	-221
A01p01040.1_BnaDAR	Q6SZ87	AT4G38050	U	U	6170.59	27197	-1
A01p01050.1_BnaDAR	Q9SZK4	AT4G38040	U	U	6099.68	27196	-1
A01p01060.1_BnaDAR	F4JSW8	AT4G38030	U	U	6333.6	27195	-1
A01p01070.1_BnaDAR	Q8GYL4	AT4G38020	U	U	6047.42	27194	-1
A01p01080.1_BnaDAR	Q84K52	AT4G38000	U	U	5918.05	27191	-3
A01p01090.1_BnaDAR	Q02971	AT4G37980	U	U	6081.17	27189	-2
A01p01100.1_BnaDAR	O65621	AT4G37970	U	U	6117.76	27188	-1
A01p01110.1_BnaDAR	Q9SZJ6	AT4G37940	U	U	5929.73	27186	-2
A01p01130.1_BnaDAR	Q84WN0	AT4G37920	U	U	6198.43	27183	-3
A01p01140.1_BnaDAR	Q8GUM2	AT4G37910	U	U	6471.02	27182	-1
A01p01150.1_BnaDAR	Q9ZQ45	AT4G37880	U	U	6178.61	27179	-3
A01p01160.1_BnaDAR	Q9T074	AT4G37870	U	U	6487.75	27178	-1
A01p01170.1_BnaDAR	Q9T073	AT4G37860	U	U	5818.51	27177	-1
A01p01190.1_BnaDAR	Q9T072	AT4G37850	U	U	5894.85	27176	-1
A01p01200.1_BnaDAR	Q9T071	AT4G37840	U	U	6037.49	27175	-1
A01p01220.1_BnaDAR	Q9T068	AT4G37810	U	U	5720.25	27172	-3
A01p01240.1_BnaDAR	F4ITH6	AT2G19850	H	U	5613.7	20221	-6951
A01p01250.1_BnaDAR	P46604	AT4G37790	U	U	5838.5	27170	6949
A01p01270.1_BnaDAR	F4JSU0	AT4G37780	U	U	5904.25	27169	-1
A01p01280.1_BnaDAR	Q9T065	AT4G37770	U	U	6239.93	27168	-1
A01p01290.1_BnaDAR	Q8VYH2	AT4G37760	U	U	6364.79	27167	-1
A01p01300.1_BnaDAR	Q38914	AT4G37750	U	U	6297.8	27166	-1
A01p01310.1_BnaDAR	Q8L8A8	AT4G37740	U	U	6271.11	27165	-1
A01p01320.1_BnaDAR	Q9T062	AT4G37730	U	U	6159.89	27164	-1
A01p01350.1_BnaDAR	B5X4Z4	AT4G37670	U	U	6603.43	27156	-8
A01p01360.1_BnaDAR	Q9SZF7	AT4G37650	U	U	6484.45	27154	-2
A01p01380.1_BnaDAR	Q42381	AT4G37580	U	U	6475.92	27148	-6
A01p01390.1_BnaDAR	Q8H1G4	AT4G37560	U	U	6504.35	27147	-1
A01p01400.1_BnaDAR	A0A178UXH8	AT4G37550	U	U	6433.02	27146	-1
A01p01410.1_BnaDAR	Q9SZE8	AT4G37540	U	U	6136.59	27145	-1
A01p01440.1_BnaDAR	Q9SZE7	AT4G37530	U	U	6230.43	27144	-1
A01p01450.1_BnaDAR	Q9SZV0	AT4G37510	U	U	6373.75	27142	-2
A01p01460.1_BnaDAR	P30183	AT4G37490	U	U	6101.27	27140	-2
A01p01480.1_BnaDAR	F4JS25	AT4G37460	U	U	6277.17	27136	-4
A01p01500.1_BnaDAR	Q9FPR2	AT4G37450	U	U	5661.4	27135	-1
A01p01510.1_BnaDAR	F4JS23	AT4G37445	U	U	5768	27134	-1
A01p01520.1_BnaDAR	F4JS23	AT4G37445	U	U	5725.84	27134	0
A01p01540.1_BnaDAR	F4JS23	AT4G37445	U	U	5704.37	27134	0
A01p01560.1_BnaDAR	A0A1P8B5J4	AT4G37435	NA	U	5634.17	27132	-2
A01p01580.1_BnaDAR	O65790	AT4G37430	U	U	6203.39	27131	-1
A01p01590.1_BnaDAR	O65790	AT4G37430	U	U	6333.12	27131	0
A01p01600.1_BnaDAR	Q9SZU2	AT4G37420	U	U	6496.44	27130	-1
A01p01620.1_BnaDAR	Q0WTF4	AT4G37400	U	U	6544.22	27127	-3
A01p01630.1_BnaDAR	Q9LQ68	AT4G37390	U	U	6584.35	27126	-1
A01p01640.1_BnaDAR	Q9SZT6	AT4G37370	U	U	6460.24	27124	-2
A01p01640.1_BnaDAR	A2RVN3	AT1G66540	E	U	6460.24	5645	-21479
A01p01640.1_BnaDAR	O23154	AT4G37340	U	U	6460.24	27122	21477
A01p01650.1_BnaDAR	O23155	AT4G37330	U	U	6451.02	27121	-1
A01p01660.1_BnaDAR	Q9SW67	AT4G37310	U	U	6420.15	27119	-2
A01p01670.1_BnaDAR	O23157	AT4G37300	U	U	6060.18	27118	-1
A01p01680.1_BnaDAR	F4JRC5	AT4G37290	U	U	5956.11	27116	-2
A01p01690.1_BnaDAR	Q94C32	AT4G37280	U	U	6164.96	27115	-1
A01p01700.1_BnaDAR	Q9M3H5	AT4G37270	U	U	6680.89	27114	-1
A01p01710.1_BnaDAR	O23160	AT4G37260	U	U	6183.72	27113	-1
A01p01720.1_BnaDAR	C0LGS3	AT4G37250	U	U	6262.24	27112	-1
A01p01730.1_BnaDAR	Q94B08	AT4G36880	U	U	6142.95	27070	-42
A01p01740.1_BnaDAR	Q8L707	AT4G36890	U	U	6108.43	27071	1
A01p01750.1_BnaDAR	Q9SW63	AT4G36900	U	U	5800.55	27072	1
A01p01780.1_BnaDAR	P47927	AT4G36920	U	U	6052.15	27074	2
A01p01810.1_BnaDAR	Q6K1M3	AT4G36950	U	U	5906.98	27079	5
A01p01840.1_BnaDAR	O23188	AT4G36970	U	U	5847.53	27081	2
A01p01850.1_BnaDAR	F4JR77	AT4G36980	U	U	5903.21	27082	1
A01p01860.1_BnaDAR	Q96320	AT4G36990	U	U	5728.96	27083	1
A01p01870.1_BnaDAR	Q8LDU4	AT4G37000	U	U	5852.75	27084	1
A01p01880.1_BnaDAR	Q9FV50	AT4G37040	U	U	5951.93	27089	5
A01p01890.1_BnaDAR	O23181	AT4G37050	U	U	5971.96	27090	1
A01p01900.1_BnaDAR	Q9FIY1	AT4G37070	U	U	5992.78	27092	2
A01p01910.1_BnaDAR	F4JR96	AT4G37080	U	U	6081.79	27093	1
A01p01920.1_BnaDAR	O23177	AT4G37090	U	U	5738.59	27094	1
A01p01930.1_BnaDAR	O23176	AT4G37100	U	U	6267.6	27096	2
A01p01940.1_BnaDAR	Q0WPT6	AT4G37110	U	U	5860.57	27097	1
A01p01950.1_BnaDAR	Q8RWH9	AT4G37130	U	U	5860.87	27099	2
A01p01970.1_BnaDAR	O23170	AT4G37160	U	U	6133.69	27102	3
A01p01980.1_BnaDAR	O23169	AT4G37170	U	U	5994.77	27103	1
A01p01990.1_BnaDAR	F4JRB0	AT4G37180	U	U	5615.8	27104	1
A01p02000.1_BnaDAR	O23166	AT4G37200	U	U	5598.55	27106	2
A01p02010.1_BnaDAR	Q94K88	AT4G37210	U	U	5558.19	27107	1
A01p02020.1_BnaDAR	Q66GI1	AT4G37235	U	U	5494.42	27110	3
A01p02030.1_BnaDAR	Q8LE56	AT4G37240	U	U	5484.54	27111	1
A01p02040.1_BnaDAR	O65628	AT4G35910	U	U	5813.31	26974	-137
A01p02050.1_BnaDAR	Q9SW80	AT4G36870	U	U	5782.59	27069	95
A01p02060.1_BnaDAR	Q8W4F0	AT4G36860	U	U	5965.67	27068	-1
A01p02070.1_BnaDAR	Q94AH7	AT4G36850	U	U	5885.49	27067	-1
A01p02080.1_BnaDAR	Q1PE15	AT4G36820	U	U	5777.26	27064	-3
A01p02090.1_BnaDAR	P34802	AT4G36810	U	U	5839.25	27063	-1
A01p02100.1_BnaDAR	Q9SDY5	AT4G36800	U	U	5749.18	27062	-1
A01p02110.1_BnaDAR	O23203	AT4G36790	U	U	6027.37	27059	-3
A01p02120.1_BnaDAR	Q94A43	AT4G36780	U	U	5835.84	27058	-1
A01p02130.1_BnaDAR	O23205	AT4G36770	U	U	5991.86	27057	-1
A01p02150.1_BnaDAR	F4JQH3	AT4G36760	U	U	6196.54	27056	-1
A01p02160.1_BnaDAR	O23207	AT4G36750	U	U	5741.32	27055	-1
A01p02170.1_BnaDAR	O23208	AT4G36740	U	U	5718.46	27054	-1
A01p02180.1_BnaDAR	P42774	AT4G36730	U	U	5676.95	27053	-1
A01p02190.1_BnaDAR	Q6NLY8	AT4G36720	U	U	5669.01	27052	-1
A01p02200.1_BnaDAR	O23210	AT4G36710	U	U	5956.01	27051	-1
A01p02220.1_BnaDAR	Q8GXR2	AT4G36670	U	U	6018.38	27047	-4
A01p02270.1_BnaDAR	O23217	AT4G36640	U	U	5808.26	27044	-3
A01p02280.1_BnaDAR	Q6QPM2	AT4G36620	U	U	5669.99	27042	-2
A01p02290.1_BnaDAR	O23220	AT4G36610	U	U	5850.67	27041	-1
A01p02310.1_BnaDAR	F4JQE9	AT4G36580	U	U	6084.76	27038	-3
A01p02320.1_BnaDAR	Q6NNN0	AT4G36570	U	U	5722.97	27037	-1
A01p02330.1_BnaDAR	O23225	AT4G36550	U	U	6130.92	27035	-2
A01p02340.1_BnaDAR	O23227	AT4G36530	U	U	5967.83	27033	-2
A01p02350.1_BnaDAR	F4JPR4	AT4G36520	U	U	6147.21	27032	-1
A01p02360.1_BnaDAR	O23231	AT4G36500	U	U	5909.57	27029	-3
A01p02370.1_BnaDAR	O23231	AT4G36500	U	U	5932.17	27029	0
A01p02380.1_BnaDAR	O23234	AT4G36470	U	U	6216.49	27026	-3
A01p02390.1_BnaDAR	Q94IB8	AT4G36480	U	U	6475.92	27027	1
A01p02410.1_BnaDAR	O23237	AT4G36430	U	U	6439.97	27022	-5
A01p02420.1_BnaDAR	A0A1I9LT28	AT3G30739	NA	U	6172.87	16702	-10320
A01p02430.1_BnaDAR	O23239	AT4G36410	U	U	6390.44	27020	10318
A01p02440.1_BnaDAR	Q8H0V1	AT4G36390	U	U	6995.52	27018	-2
A01p02450.1_BnaDAR	Q9M066	AT4G36380	U	U	7108.69	27017	-1
A01p02460.1_BnaDAR	Q9SCV9	AT4G36360	U	U	7785.14	27015	-2
A01p02470.1_BnaDAR	Q84WV6	AT4G36290	U	U	7498.99	27013	-2
A01p02470.1_BnaDAR	Q5FV35	AT4G36280	U	U	7498.99	27012	-1
A01p02470.1_BnaDAR	F4JPP0	AT4G36270	U	U	7498.99	27011	-1
A01p02480.1_BnaDAR	O65517	AT4G36260	U	U	7144.43	27010	-1
A01p02490.1_BnaDAR	Q70E96	AT4G36250	U	U	7447.53	27009	-1
A01p02500.1_BnaDAR	O65515	AT4G36240	U	U	7263.23	27008	-1
A01p02510.1_BnaDAR	O65514	AT4G36230	U	U	7166.99	27007	-1
A01p02540.1_BnaDAR	Q42600	AT4G36220	U	U	7768.85	27006	-1
A01p02550.1_BnaDAR	B3H797	AT4G36210	U	U	7979.8	27005	-1
A01p02570.1_BnaDAR	C0LGS2	AT4G36180	U	U	7941.05	27002	-3
A01p02580.1_BnaDAR	O65508	AT4G36160	U	U	8005.21	27000	-2
A01p02590.1_BnaDAR	O65507	AT4G36150	U	U	8792.47	26999	-1
A01p02600.1_BnaDAR	O65506	AT4G36140	U	U	8866.66	26998	-1
A01p02610.1_BnaDAR	Q42064	AT4G36130	U	U	8360.71	26997	-1
A01p02620.1_BnaDAR	Q9ZQ21	AT4G36120	U	U	8575.22	26996	-1
A01p02630.1_BnaDAR	O65648	AT4G36110	U	U	8242.13	26995	-1
A01p02650.1_BnaDAR	Q5RJC7	AT4G36090	U	U	8527.5	26992	-3
A01p02660.1_BnaDAR	F4JPL2	AT4G36080	U	U	11610.8	26991	-1
A01p02670.1_BnaDAR	Q8W2F2	AT4G36060	U	U	6917.09	26989	-2
A01p02680.1_BnaDAR	F4JNY0	AT4G36050	U	U	7186.26	26988	-1
A01p02690.1_BnaDAR	Q9FYB5	AT4G36040	U	U	6547.37	26987	-1
A01p02700.1_BnaDAR	O65639	AT4G36020	U	U	6366.35	26985	-2
A01p02710.1_BnaDAR	O65638	AT4G36010	U	U	6435.13	26984	-1
A01p02720.1_BnaDAR	F4JNX3	AT4G35987	U	U	6243.21	26982	-2
A01p02740.1_BnaDAR	Q7XZP5	AT4G35970	U	U	6039.18	26979	-3
A01p02750.1_BnaDAR	Q9SBJ6	AT4G35950	U	U	5822.68	26978	-1
A01p02760.1_BnaDAR	O65631	AT4G35940	U	U	5614.57	26977	-1
A01p02780.1_BnaDAR	Q8L7E9	AT4G35920	U	U	5738.92	26975	-2
A01p02810.1_BnaDAR	Q84JK2	AT4G35900	U	U	5409.95	26972	-3
A01p02850.1_BnaDAR	B3LF45	AT4G35880	U	U	5665.15	26970	-2
A01p02860.1_BnaDAR	Q38922	AT4G35860	U	U	5241.46	26968	-2
A01p02870.1_BnaDAR	Q8VYR5	AT4G35850	U	U	5254.33	26967	-1
A01p02880.1_BnaDAR	Q8GT75	AT4G35840	U	U	4962.56	26966	-1
A01p02920.1_BnaDAR	F4JNU8	AT4G35810	U	U	4919.46	26963	-3
A01p02930.1_BnaDAR	Q6IM84	AT4G35783	U	U	4679.06	26959	-4
A01p02940.1_BnaDAR	Q38853	AT4G35770	U	U	4759.92	26957	-2
A01p02950.1_BnaDAR	Q8L540	AT4G35760	U	U	4815.76	26956	-1
A01p02960.1_BnaDAR	O81806	AT4G35750	U	U	4733.38	26955	-1
A01p02980.1_BnaDAR	O81802	AT4G35710	U	U	4664.86	26949	-6
A01p02990.1_BnaDAR	O81801	AT4G35700	U	U	4595.76	26948	-1
A01p03000.1_BnaDAR	O81800	AT4G35690	U	U	4702.36	26947	-1
A01p03010.1_BnaDAR	F4JN48	AT4G35680	U	U	4723.08	26945	-2
A01p03020.1_BnaDAR	O81793	AT4G35610	U	U	4599.27	26937	-8
A01p03030.1_BnaDAR	P27450	AT4G35600	U	U	4909.42	26936	-1
A01p03040.1_BnaDAR	O81791	AT4G35590	U	U	4832.33	26935	-1
A01p03050.1_BnaDAR	O49597	AT4G35570	U	U	4727.37	26933	-2
A01p03060.1_BnaDAR	O81788	AT4G35550	U	U	4878.62	26931	-2
A01p03070.1_BnaDAR	O81787	AT4G35540	U	U	5158.06	26930	-1
A01p03080.1_BnaDAR	Q8VY53	AT4G35530	U	U	5079.06	26929	-1
A01p03090.1_BnaDAR	O81784	AT4G35510	U	U	5070.62	26926	-3
A01p03100.1_BnaDAR	F4JN22	AT4G35500	U	U	5543.79	26925	-1
A01p03110.1_BnaDAR	Q9ZT49	AT4G35480	U	U	5411.48	26922	-3
A01p03120.1_BnaDAR	Q9SVW8	AT4G35470	U	U	5579.58	26921	-1
A01p03130.1_BnaDAR	Q9SAR5	AT4G35450	U	U	5673.27	26919	-2
A01p03140.1_BnaDAR	Q8GX93	AT4G35440	U	U	6328.92	26917	-2
A01p03160.1_BnaDAR	O23685	AT4G35410	U	U	6124.56	26915	-2
A01p03170.1_BnaDAR	Q6DBQ1	AT4G35390	U	U	6279.41	26914	-1
A01p03180.1_BnaDAR	F4JN05	AT4G35380	U	U	8123.14	26913	-1
A01p03200.1_BnaDAR	Q8W4Q1	AT4G35360	U	U	7083.89	26910	-3
A01p03210.1_BnaDAR	O65493	AT4G35350	U	U	7075.58	26909	-1
A01p03230.1_BnaDAR	Q9ASZ6	AT4G35320	U	U	6855.14	26908	-1
A01p03240.1_BnaDAR	Q38872	AT4G35310	U	U	7233.14	26907	-1
A01p03250.1_BnaDAR	Q8LPQ8	AT4G35300	U	U	7534.27	26906	-1
A01p03260.1_BnaDAR	Q93YT1	AT4G35290	U	U	7304.01	26904	-2
A01p03290.1_BnaDAR	Q7X9B9	AT4G35270	U	U	7547.96	26902	-2
A01p03300.1_BnaDAR	Q8LFC0	AT4G35260	U	U	7004.62	26901	-1
A01p03310.1_BnaDAR	Q8GWG0	AT5G60620	W2	U	6606.63	12726	-14175
A01p03320.1_BnaDAR	F4JMA6	AT4G35240	U	U	7060.53	26899	14173
A01p03330.1_BnaDAR	Q944A7	AT4G35230	U	U	6992.12	26898	-1
A01p03370.1_BnaDAR	Q94JT5	AT4G35220	U	U	6691.78	26897	-1
A01p03390.1_BnaDAR	Q84WE9	AT4G35180	U	U	6763.71	26893	-4
A01p03400.1_BnaDAR	A0A178UWL0	AT4G35140	U	U	6677.7	26888	-5
A01p03410.1_BnaDAR	O49619	AT4G35130	U	U	6830.2	26887	-1
A01p03420.1_BnaDAR	O49618	AT4G35120	U	U	6251.02	26886	-1
A01p03430.1_BnaDAR	A8MQE1	AT4G35110	U	U	6247.27	26885	-1
A01p03450.1_BnaDAR	P93004	AT4G35100	U	U	6296.81	26884	-1
A01p03480.1_BnaDAR	Q94A99	AT4G35080	U	U	6264.73	26882	-2
A01p03490.1_BnaDAR	Q66GR4	AT4G35070	U	U	6042.37	26881	-1
A01p03510.1_BnaDAR	O49613	AT4G35060	U	U	6121.71	26880	-1
A01p03520.1_BnaDAR	Q8VY76	AT4G35040	U	U	6105.52	26878	-2
A01p03530.1_BnaDAR	F4JM74	AT4G35030	U	U	6361.7	26876	-2
A01p03540.1_BnaDAR	Q38912	AT4G35020	U	U	6316.1	26875	-1
A01p03550.1_BnaDAR	Q9SCV1	AT4G35010	U	U	7090.9	26874	-1
A01p03560.1_BnaDAR	O49608	AT4G34990	U	U	6577.85	26872	-2
A01p03570.1_BnaDAR	O49606	AT4G34970	U	U	6513.09	26870	-2
A01p03580.1_BnaDAR	O49605	AT4G34960	U	U	6652.07	26869	-1
A01p03590.1_BnaDAR	Q9SLF1	AT4G34950	U	U	6981.93	26868	-1
A01p03600.1_BnaDAR	Q9SW41	AT4G34940	U	U	7236.15	26867	-1
A01p03610.1_BnaDAR	Q9SW44	AT4G34910	U	U	7224.87	26864	-3
A01p03620.1_BnaDAR	F4JLI5	AT4G34900	U	U	8116.87	26863	-1
A01p03660.1_BnaDAR	Q42406	AT4G34870	U	U	6739.85	26859	-4
A01p03670.1_BnaDAR	Q9SW48	AT4G34860	U	U	7037.71	26858	-1
A01p03680.1_BnaDAR	Q8LDM2	AT4G34850	U	U	6649.83	26857	-1
A01p03690.1_BnaDAR	Q0WLC6	AT4G34830	U	U	6571.04	26855	-2
A01p03700.1_BnaDAR	F4JLH5	AT4G34810	U	U	5962.4	26854	-1
A01p03710.1_BnaDAR	Q9SW54	AT4G34800	U	U	5908.57	26853	-1
A01p03720.1_BnaDAR	Q9SW55	AT4G34790	U	U	5872.7	26852	-1
A01p03730.1_BnaDAR	Q9SW57	AT4G34770	U	U	5861.7	26850	-2
A01p03770.1_BnaDAR	O65694	AT4G34750	U	U	5884.84	26848	-2
A01p03780.1_BnaDAR	Q9STG9	AT4G34740	U	U	6296.15	26847	-1
A01p03790.1_BnaDAR	O23141	AT4G34710	U	U	6304.45	26844	-3
A01p03800.1_BnaDAR	O23141	AT4G34710	U	U	6191.6	26844	0
A01p03810.1_BnaDAR	Q945M1	AT4G34700	U	U	5675.58	26843	-1
A01p03820.1_BnaDAR	Q8L4M6	AT4G34680	U	U	5707.71	26841	-2
A01p03830.1_BnaDAR	Q9CAV0	AT4G34670	U	U	5726.42	26840	-1
A01p03830.1_BnaDAR	Q42262	AT4G34670	U	U	5726.42	26840	0
A01p03840.1_BnaDAR	Q8VWF1	AT4G34660	U	U	5778.62	26839	-1
A01p03860.1_BnaDAR	Q9LV71	AT4G34630	U	U	5464.55	26836	-3
A01p03870.1_BnaDAR	O65686	AT4G34620	U	U	5521.37	26835	-1
A01p03880.1_BnaDAR	Q84MD2	AT4G34600	U	U	5485.31	26833	-2
A01p03900.1_BnaDAR	O65683	AT4G34590	U	U	5518.77	26832	-1
A01p03920.1_BnaDAR	Q05763	AT4G34570	U	U	6083.56	26830	-2
A01p03930.1_BnaDAR	Q8L623	AT4G34560	U	U	5818.18	26829	-1
A01p03940.1_BnaDAR	O65679	AT4G34540	U	U	6028.48	26826	-3
A01p03950.1_BnaDAR	Q8GY61	AT4G34530	U	U	6007.26	26825	-1
A01p03960.1_BnaDAR	Q6NKZ9	AT4G34500	U	U	6390.34	26822	-3
A01p03970.1_BnaDAR	O65902	AT4G34490	U	U	6607.52	26821	-1
A01p03980.1_BnaDAR	P49177	AT4G34460	U	U	6796.88	26818	-3
A01p03990.1_BnaDAR	Q0WW26	AT4G34450	U	U	7437.85	26817	-1
A01p04000.1_BnaDAR	Q8GX23	AT4G34440	U	U	7060.98	26816	-1
A01p04010.1_BnaDAR	Q8VY05	AT4G34430	U	U	7261.36	26815	-1
